[1]陈丹丹,徐帆洪,高丹. 表达NY-ESO-1重组耻垢分枝杆菌的制备及应用[P]. 上海：CN102839186A,2012-12-26.
[153]H-P·布赫施塔勒,U·埃姆德,M·克莱恩,C·埃斯达尔,J·博姆克. 吡唑并嘧啶衍生物[P]. 德国：CN102666542A,2012-09-12.

[154]W·J·麦克布赖德,C·A·德索扎,D·M·戈登堡. 用于蛋白质、肽和其它分子的改进的F-18标记的方法和组合物[P]. 美国：CN102666567A,2012-09-12.

[155]肯尼思·鲁尔森,大卫·马迪尼兹,克里斯蒂娜·伊,克里斯托弗·R·贝炳东,杰弗里·T·亚兰东. EphA3抗体[P]. 美国：CN102666589A,2012-09-12.

[156]王学超,张萧洁,吴逢伟,余飞江,邓林根,杜勇华,朱学军. 一种异羟肟酸类化合物及其制备方法和用途[P]. 四川：CN102659630A,2012-09-12.

[157]S·辛格,X·刘. 用于检测致癌融合蛋白的邻近介导试验[P]. 美国：CN102667478A,2012-09-12.

[158]D·G·汉格尔,D·考格林,J·A·科迪,J·盖勒,D·帕特拉. 调控激酶级联的组合物以及方法[P]. 美国：CN102657656A,2012-09-12.

[159]苟春虎. 防癌抗癌胶囊[P]. 青海：CN102657866A,2012-09-12.

[160]吴庆宇,董宁征,高丽娟,刘萌. Matriptase的应用[P]. 江苏：CN102662060A,2012-09-12.

[161]K.奥格,K.E.巴克曼,J.D.格雷肖克,T.吉尔默,S.拉克雷,S.R.莫里斯. 组合[P]. 美国：CN102665720A,2012-09-12.

[162]M.希奇科克,I.哈通,F.皮勒. 取代的苯磺酰胺[P]. 德国：CN102656142A,2012-09-05.

[163]海老沼宏幸,田久保耕平,松尾正直,深町勇,武城英明,中世古知昭,斋藤康. 恶性肿瘤的诊断方法[P]. 日本：CN102656456A,2012-09-05.

[164]陶宁,刘小龙,吴培华. 用于提高免疫、补血及抗氧化的预防肿瘤复合制剂[P]. 北京：CN102652760A,2012-09-05.

[165]J·J·杰梅尼兹,N·R·纳莱恩,J·P·麦库克. 用于治疗脱发的维生素D3及其类似物[P]. 美国：CN102655869A,2012-09-05.

[166]艾拉·H·帕斯坦,理查德·比尔斯,恩田正德. 具有降低的免疫原性的改进的假单胞菌外毒素A[P]. 美国：CN102655882A,2012-09-05.

[167]吴信忠,许婷. AIF1蛋白及抗体在制备近江牡蛎抗感染免疫制剂中的应用[P]. 浙江：CN102649815A,2012-08-29.

[168]埃琳娜·费因斯坦,丹尼尔·祖尔,莎伊·艾尔利奇. 寡核糖核苷酸以及其用于治疗脱发、肾衰竭和其它疾病的方法[P]. 美国：CN102643818A,2012-08-22.

[169]乌尔里希·布林克曼,丽贝卡·克罗斯代尔,维尔马·劳,克里斯蒂安·吉尔德斯,埃克·霍夫曼,克里斯蒂安·克莱因,克劳斯-彼得·金克勒,沃尔夫冈·谢弗,扬·奥拉夫·斯特拉克,巴勃罗·乌马纳. 双特异性抗-EGFR/抗-IGF-1R抗体[P]. 瑞士：CN102643345A,2012-08-22.

[170]H-M·埃根韦莱,C·西伦贝格,H-P·布赫施塔勒. 喹唑啉衍生物[P]. 德国：CN102648178A,2012-08-22.

[171]J·洛夫斯迪特,吴雄宇,L·克瑞格. 作为雌激素受体配体的取代吡唑[P]. 瑞典：CN102648183A,2012-08-22.

[172]张恩慧,许忠民,程永安,杨安平,马英夏,高海娜,李伟,王朝阳,马青山. 一种衡量甘蓝一代杂种生长整齐度的判定方法[P]. 陕西：CN102640699A,2012-08-22.

[173]M·哈达齐,F·皮埃尔. 新型三环蛋白激酶调节剂[P]. 美国：CN102647904A,2012-08-22.

[174]M·哈达齐,F·皮埃尔. 三环化合物及其药学用途[P]. 美国：CN102647906A,2012-08-22.

[175]李向东,于万鹏,林蔚,张华. 芳香酶抑制剂的新用途[P]. 北京：CN102641502A,2012-08-22.

[176]D·格吕内贝格,黄西,S·纳特森,P·奥古斯特. 测量对多西他赛抗药性或敏感性的方法[P]. 美国：CN102634574A,2012-08-15.

[177]F·施蒂贝尔,D·维恩克. 鞘氨醇激酶抑制剂[P]. 德国：CN102639513A,2012-08-15.

[178]L·格奇,A·茹阿诺. 抗-CMET抗体及其用于癌症的检测和诊断的用途[P]. 法国：CN102639564A,2012-08-15.

[179]冯鹏. 一种制备埃博霉素D和B的方法[P]. 天津：CN102633792A,2012-08-15.

[180]王颖,沈一飞,郝柱,徐宁迎. 兔抗人α-乳清蛋白多克隆抗体的制备与应用[P]. 浙江：CN102633879A,2012-08-15.

[181]张玲玲,袁正江,闫妍,王萧逸,贾金芳,赵杰刚,周晓燕. 一种划圈器[P]. 河南：CN102631765A,2012-08-15.

[182]C-S.陈,J-H.古. 噻唑烷二酮能量限制拟似剂[P]. 美国：CN102638980A,2012-08-15.

[183]赵艳,梁艳,张秀丽. 一种防止拟南芥花粉传播的培养箱隔断[P]. 黑龙江：CN202374780U,2012-08-15.

[184]王银松,张宁,杨晓英,吴静,刘媛媛. pH敏感普鲁兰多糖衍生物纳米药物载体和载药粒子及制备方法[P]. 天津：CN102631679A,2012-08-15.

[185]李杰,施建耀. 一种增强免疫力、缓解体力疲劳、抗肿瘤功能的保健药物配方[P]. 浙江：CN102631409A,2012-08-15.

[186]伊里纳·拉维林,瓦尔达·罗特尔,摩舍·奥伦,阿米·纳沃恩,泽维·卡姆,本杰明·盖尔. 蛋白酶体抑制剂及其用途[P]. 以色列：CN102639146A,2012-08-15.

[187]C.W.西贝尔. 使用刻缺蛋白3拮抗剂来治疗刻缺蛋白1拮抗剂抗性癌症的方法[P]. 瑞士：CN102630229A,2012-08-08.

[188]K·A·米尼尔,A·P·奥特里奇,D·J·隆德斯布拉夫,M·R·哈勒特,K·R·马尔霍兰德,J·D·皮塔姆,D·D·P·拉法恩,I·W·阿什沃思,M·F·琼斯,J·H·谢里曼. 4-[3-(4-环丙烷羰基-哌嗪-1-羰基)-4-氟-苄基]-2H-酞嗪-1-酮的多晶型物[P]. 英国：CN102627611A,2012-08-08.

[189]张健存,陈超南,郑建龙. 一种胺基喹唑啉衍生物及其制备方法和用途[P]. 广东：CN102627632A,2012-08-08.

[190]黄张建,张奕华,爱德华·克瑙斯,赖宜生,彭司勋. 一氧化氮供体型谷胱甘肽类化合物、其制备方法及医药用途[P]. 江苏：CN102627685A,2012-08-08.

[191]柳田晃良,石丸干二,田中隆,古场一哲,宫崎均,青木直人,河村传兵卫. 含有多酚衍生物的功能性微生物发酵茶提取物及其制造方法[P]. 日本：CN102630142A,2012-08-08.

[192]J·M·瓦尔德斯,E·K·查塔什,W·T·巴楚克,S·K·保罗森,K·B·戈顿,W·M·奥尼,Y·鲍,W·G·格拉斯,Y·古,T·C·哈里斯,M·考尔,P·M·穆拉尼,P·内尔特朔伊泽,M·M·奥昆. 用于治疗银屑病的方法[P]. 美国：CN102630168A,2012-08-08.

[193]郭人花,金时代,陈小锋,朱蔚友,束永前,王同杉. 他莫昔芬联合雷帕霉素、人参皂苷Rg3复合物在制备治疗肝癌药物中的应用[P]. 江苏：CN102626416A,2012-08-08.

[194]竹中洋美,秋富穰,加藤信太郎,辻祥太郎,大津敬,和贺严. HMGB1结合核酸分子及其用途[P]. 日本：CN102625836A,2012-08-01.

[195]V·德留,L·黄,N·德赛. SPARC反义组合物和其用途[P]. 美国：CN102625839A,2012-08-01.

[196]时宏珍. HLA-A0201限制性抗原特异性CTL制备方法[P]. 江苏：CN102618498A,2012-08-01.

[197]D·格吕内贝格,黄西,S·纳特森,P·奥古斯特. 测量对多西他赛抗药性或敏感性的方法[P]. 美国：CN102618641A,2012-08-01.

[198]M·哈达齐,D·雷克曼,N·拉法勒. 药学上有用的杂环-取代的内酰胺[P]. 美国：CN102625803A,2012-08-01.

[199]迈克·安德鲁·福利,罗伯特·古尔德,皮特·埃利奥特,安娜·曼狄诺瓦,山姆·李. 治疗癌症的化合物和组分[P]. 美国：CN102625805A,2012-08-01.

[200]小艾伦.J.埃本斯,王晓晶. 4-取代的吡啶-3-基-甲酰胺化合物和使用方法[P]. 瑞士：CN102625807A,2012-08-01.

[201]王坚成,张强,陶小妹,张烜. 一种共轭亚油酸与吉西他滨连接的前体药物制备方法及其应用[P]. 北京：CN102617679A,2012-08-01.

[202]孙炳伟,孙志伟,孙艳. 一氧化碳分子在皮肤移植后抑制急性排斥反应中的应用[P]. 江苏：CN102614215A,2012-08-01.

[203]侯文礼,冯晓,赵志鹏,刘瑾,钟泽荣. 一种包括酵母细胞中表达的HPV16型L1和E7靶抗原的嵌合蛋白疫苗及其制备方法[P]. 四川：CN102614505A,2012-08-01.

[204]V·特利乌,N·P·德赛,P·苏恩-施昂. 利用白蛋白-结合蛋白作为靶标的治疗方法[P]. 美国：CN102614521A,2012-08-01.

[205]楼振昆,袁健. 调节去泛素化酶和泛素化多肽的方法和材料[P]. 美国：CN102625711A,2012-08-01.

[206]G·P·诺兰,A·塞萨诺. 细胞网络分析[P]. 美国：CN102625932A,2012-08-01.

[207]J·科拉德,O·霍尔科瓦谢尔曼. 通过抑制针对对氧磷酶1(PON1)的天然反义转录物来治疗PON1相关的疾病[P]. 美国：CN102612560A,2012-07-25.

[208]D·格吕内贝格,黄西,S·纳特森,P·奥古斯特. 测量对多西他赛抗药性或敏感性的方法[P]. 美国：CN102605067A,2012-07-25.

[209]P·N·伊布拉赫姆,D·R·阿提斯,R·布莱姆,S·玛莫,M·那斯比,C·张,J·张,Y-L·朱,J·蔡,K-P·海那斯,G·博拉格,W·斯普瓦克,H·周,S·J·吉勒提,G·吴,H·朱,S·石. 作为蛋白质激酶抑制剂的吡咯并[2,3-B]吡啶衍生物[P]. 美国：CN102603581A,2012-07-25.

[210]刘健康,冯智辉,邹璇,曹可,岳婷婷,周波. 姜黄素C及其衍生物C3在防治视网膜黄斑变性药物中的应用[P]. 陕西：CN102600115A,2012-07-25.

[211]出野美津子,薮内美江,神芽衣子,佐藤优江,芦田尚子,榎龙嗣. 生产天然杀伤细胞的方法[P]. 日本：CN102597223A,2012-07-18.

[212]J·科拉德,O·霍尔科瓦谢尔曼. 通过抑制针对肿瘤坏死因子受体2(TNFR2)的天然反义转录物来治疗TNFR2相关的疾病[P]. 美国：CN102597238A,2012-07-18.

[213]潘力,王坤,杨慧林,钟景儒. 一株重组的枯草芽孢杆菌及由其生产转谷氨酰胺酶的方法[P]. 广东：CN102586167A,2012-07-18.

[214]吴忠福,徐以兵,董生聚. 一种K562细胞扩增激活NK细胞的方法[P]. 浙江：CN102586185A,2012-07-18.

[215]席建忠,黄璜. 一种简单、快速制备即用esiRNA的方法[P]. 北京：CN102586224A,2012-07-18.

[216]邓永红,L·普拉蒙登,孙翠香,肖晓毅,周敬业,J·A·萨克利夫,M·P·罗恩. 四环素类化合物[P]. 美国：CN102596898A,2012-07-18.

[217]查尔斯.L.索耶斯,迈克尔.E.琼,查利.D.陈,萨梅迪.奥克,德里克.韦尔斯比,克里斯.特兰,约翰.旺格维帕特,刘东沅. 二芳基乙内酰脲化合物[P]. 美国：CN102584712A,2012-07-18.

[218]L.W.L.吴,C.布伯,P.M.伍德,A.皮泰,A.普罗希,B.V.L.波特. 芳香酶抑制剂[P]. 英国：CN102596919A,2012-07-18.

[219]R·辛,S·D·威尔豪姆,R·V·J·查理. 有效的缀合物和亲水性连接体[P]. 美国：CN102596922A,2012-07-18.

[220]张晓坤,陈海峰,陈志鸿,曾锦章,吴华,罗强,何加友,陈丽玲,吴德培. 4′-甲氧基-7-羟基异黄酮在制备抗肿瘤药物中的应用及其制备方法[P]. 福建：CN102584767A,2012-07-18.

[221]F·皮埃尔,M·哈达齐,C·F·里根,D·M·利克曼. 用作蛋白激酶调节剂的稠合喹啉类化合物[P]. 美国：CN102596969A,2012-07-18.

[222]U·克拉尔,W·施韦德,C·默勒,A·罗特盖里,W·博内. 17-羟基-17-五氟乙基-雌-4,9(10)-二烯-11-芳基衍生物、其制备方法及其用于治疗疾病的用途[P]. 德国：CN102596985A,2012-07-18.

[223]校登明,刘昱良,胡远东,孙德广,荆禄涛,唐国静,孙颖慧,王欢,彭勇,王鹤,罗鸿,韩永信. 二氢化茚酰胺化合物、其药物组合物及其用途[P]. 北京：CN102584830A,2012-07-18.

[224]S·戈德曼,C·威尔姆,F·米蒂亚斯. 在FFPE材料中用于检测整联蛋白复合体的抗体[P]. 德国：CN102597001A,2012-07-18.

[225]J-F·阿欧. CD151特异性嵌合抗体及其在癌症治疗中的用途[P]. 法国：CN102597004A,2012-07-18.

[226]李春燕,董恩成,刘珍珍,吕雪梅,吴仲义. 筛选肿瘤早期诊断靶标的Small RNA-Seq库的构建方法[P]. 北京：CN102586892A,2012-07-18.

[227]J·胡德,S·K·克西. 作为WNT/B-联蛋白信号传导途径抑制剂的吲唑及其治疗用途[P]. 美国：CN102595899A,2012-07-18.

[228]高用柗,金润根,张寿哲,金晤妍,崔东植,尹艺珍. 来源于有核哺乳动物细胞的微囊泡及其应用[P]. 韩国：CN102596177A,2012-07-18.

[229]玛塞勒·马克鲁夫,托梅尔·布龙施泰因. 脂质体组合物及其用途[P]. 以色列：CN102596179A,2012-07-18.

[230]郭忠武,王千里,唐寿初. 单磷酸化的脂质A衍生物[P]. 美国：CN102596220A,2012-07-18.

[231]塔玛拉·桑德勒,奥利·德瓦瑞. 新蛋白[P]. 以色列：CN102596247A,2012-07-18.

[232]孙飘扬,袁开红. 治疗肿瘤疾病的药物组合物[P]. 江苏：CN102579454A,2012-07-18.

[233]曹蔚,王四旺,谢艳华,杨倩,张雅. 蛴螬总生物碱的制备方法与应用[P]. 陕西：CN102579506A,2012-07-18.

[234]王福俤,张竹珍. 泵铁蛋白的调控及其应用[P]. 上海：CN102580092A,2012-07-18.

[235]宋韦,李雨晨. 基于IGFBP-2自身抗体或其与IGFBP-2联合的检测的肿瘤诊断试剂或试剂盒及应用[P]. 北京：CN102590511A,2012-07-18.

[236]王建华,王玉玲,王乃福,赵祥平,陈本龙,吴绍强. 一种基于M基因的尼帕病毒荧光RT-PCR检测方法[P]. 天津：CN102559935A,2012-07-11.

[237]马克·洛戴尔. 活化的NK细胞的经保存的组合物及其使用方法[P]. 英国：CN102575230A,2012-07-11.

[238]J·科拉德,O·霍尔科瓦谢尔曼. 通过抑制针对重编程因子的天然反义转录物来治疗重编程因子相关的疾病[P]. 美国：CN102575251A,2012-07-11.

[239]B·D·布朗. 利用不对称双链RNA特异性抑制KRAS的方法和组合物[P]. 美国：CN102575254A,2012-07-11.

[240]丛丽娜,常艺海. 一种重组海参溶菌酶C端多肽、其制备方法和应用[P]. 辽宁：CN102559671A,2012-07-11.

[241]易崇勤,王振国. 一种芳基脲衍生物[P]. 北京：CN102558144A,2012-07-11.

[242]丛欣,黄伟,王鹏,刘兆刚,明志会,施敏锋,马玉恒,沈超,唐锋. 化合物、制备方法及应用[P]. 江苏：CN102558147A,2012-07-11.

[243]龙亚秋,丁健,王勇,谢华,曾立凡. 5,8-二取代-1,6-二氮杂萘-7-羰酰胺类化合物及其二聚体化合物,其制备方法和用途[P]. 上海：CN102558172A,2012-07-11.

[244]M·希契科克,I·哈通,F·普勒,G·西迈斯特,R·诺伊豪斯. 取代的卤代苯氧基苯甲酰胺衍生物[P]. 德国：CN102574782A,2012-07-11.

[245]安松柱,李楚芳,黄晨,周桂生. 抑制WNT信号传导的化合物、组合物及其应用[P]. 广东：CN102558173A,2012-07-11.

[246]J.H.哈钦森,T.J.塞德斯,B.王. 作为溶血磷脂酸受体拮抗剂的化合物[P]. 美国：CN102574822A,2012-07-11.

[247]高直树,大森正幸,高见京子,松下正行,早濑忠克,兵藤郁美,河内雅美,西井广树,海老池启达,中西义人,三尾俊之,王利莎,赵伟利. 氨基吡唑衍生物[P]. 日本：CN102574836A,2012-07-11.

[248]U·埃姆德,H-P·布赫施塔勒,M·克莱恩,C·埃斯达尔,J·博姆克. 用于抑制PI3激酶的吡啶基咪唑酮衍生物[P]. 德国：CN102574842A,2012-07-11.

[249]P·菲雷,F·S·卡尔特霍夫,R·马,C·拉格特,F·施陶费尔. 1H-咪唑并[4,5-c]喹啉酮衍生物[P]. 瑞士：CN102574845A,2012-07-11.

[250]佐佐木聪,田中雄太. 稠合杂环衍生物及其用途[P]. 日本：CN102574851A,2012-07-11.

[251]戴淼,富兴年,贺峰,L·江,李悦,梁芳,刘磊,米沅,徐耀昌,寻国良,严小霞,Z·于,J·Y·张. 杂环肟化合物[P]. 瑞士：CN102574853A,2012-07-11.

[252]李廷泰,文庆德,尹志容,成炳济,李东宪,李东垠,柳修娟,沈炫辅,姜庆在. 特异性结合VCAM-1并抑制白细胞与内皮细胞之间粘附和变移的人重组单克隆抗体[P]. 韩国：CN102574916A,2012-07-11.

[253]金世镐,张基奂,洪广元,辛庸源,金敏洙,李海元,辛龙男,柳憬桓,徐东赫. 与表皮生长因子受体特异性地结合的抗体[P]. 韩国：CN102574919A,2012-07-11.

[254]S·高尔兹,A·丹尼尔奇克,R·施塔恩,U·卡斯滕. MUC1抗体[P]. 德国：CN102574926A,2012-07-11.

[255]A·肯,M·J·杰德斯,M·O·贝洛,Q·李. 使用荧光图像产生明场图像的系统和方法[P]. 美国：CN102575990A,2012-07-11.

[256]陶春林,王庆伟,L·纳兰,T·波拉特,D·侯,N·P·德塞. 三嗪衍生物及其治疗应用[P]. 美国：CN102573480A,2012-07-11.

[257]陶春林,王庆伟,L·纳兰,T·波拉特,L·科鲁尼尔克,N·德赛. 三嗪衍生物及其治疗应用[P]. 美国：CN102573485A,2012-07-11.

[258]陶春林,王庆伟,T·波拉特,L·纳兰,N·德赛. 三嗪衍生物及其治疗应用[P]. 美国：CN102573486A,2012-07-11.

[259]史振声,李凤海,王志斌,王晓东,王宏伟,朱敏,吕香玲,葛云霞,张喜华. 用氟乐灵诱导玉米孤雌生殖的育种方法[P]. 辽宁：CN102550399A,2012-07-11.

[260]林曙光,郑猛. β3肾上腺素受体阻滞剂的抗肿瘤用途[P]. 广东：CN102552912A,2012-07-11.

[261]齐宪荣,董达文,王鹏程,时念秋,向柏,马冬旭. 通过修饰细胞穿透肽提高给药系统的靶向选择性的方法[P]. 北京：CN102552929A,2012-07-11.

[262]张烜,王欣,张强. 一种靶向热敏脂质体[P]. 北京：CN102552144A,2012-07-11.

[263]M.阿德勒,U.格劳肖普夫,H-C.马勒,O.B.斯托赫. 皮下抗HER2抗体配制剂[P]. 瑞士：CN102573789A,2012-07-11.

[264]宋嘉盛. 用于介入治疗和根除癌症的ITE[P]. 美国：CN102573470A,2012-07-11.

[265]C·陶,N·P·德赛,P·孙雄. 利用紫杉烷和刺猬抑制剂的纳米颗粒组合物的联合治疗[P]. 美国：CN102573832A,2012-07-11.

[266]杜宇平,陈星,杨金波,王勤. 莫能菌素作为STAT3信号特异性抑制剂的应用[P]. 甘肃：CN102552300A,2012-07-11.

[267]X·陈,S·R·卡拉,B·R·胡克,R·蓝,A·E·苏顿,A·古托波罗斯,B·L·霍道斯,R·C·琼斯. 新的双环脲化合物[P]. 德国：CN102573994A,2012-07-11.

[268]张云福,裘建英,裘霖,张玉丽. 各种癌症病理演变前期MICRORNA-10B水平原位杂交检测试剂盒及检测方法和应用[P]. 江苏：CN102533980A,2012-07-04.

[269]周永刚,谭文斌. 一体化缓冲液及使用该一体化缓冲液分离核酸的方法[P]. 上海：CN102533725A,2012-07-04.

[270]周敏毅,刘金毅,程永庆. 干扰素α突变体及其聚乙二醇衍生物[P]. 北京：CN102532300A,2012-07-04.

[271]李勇,王姗姗,王钊. 一类作为维甲酸受体(RARs)激动剂的天然产物及其用途[P]. 福建：CN102532070A,2012-07-04.

[272]易崇勤,王振国. 芳基脲衍生物[P]. 北京：CN102532113A,2012-07-04.

[273]D.J.巴特科维茨,褚新阶,刘进军,T.M.罗斯,张筑明. 新颖的作为MDM2-p53相互作用抑制剂的N经取代的吡咯烷类化合物[P]. 瑞士：CN102548963A,2012-07-04.

[274]河南英次,高桥龙久,金山隆俊,福田悠太,贝泽弘行,近藤裕,濑尾龙志,仓本和幸,岳一彦,坂本一志. 取代酰胺化合物[P]. 日本：CN102548965A,2012-07-04.

[275]J-C.卡里,V.塞塔尔,F.哈利,K.A.卡尔森,L.希奥,F.汤普森. 新型(6-氧代-1,6-二氢嘧啶-2-基)酰胺衍生物、其制备方法以及其作为AKT (PKB)磷酸化抑制剂的医药用途[P]. 法国：CN102548970A,2012-07-04.

[276]丹尼拉·阿尔贝拉蒂,鲁本·阿尔瓦雷茨桑切斯,康拉德·辈莱切,亚历山大·弗洛尔,卡特里·格勒布科茨宾登,马蒂亚斯·克尔纳,贝恩德·库恩,延斯-乌韦·彼得斯,马库斯·鲁道夫. 作为磷酸二酯酶10A抑制剂的咪唑并吡啶或咪唑并嘧啶衍生物[P]. 瑞士：CN102548991A,2012-07-04.

[277]车健为,陈蓓,丁强,郝学士,贺晓晖,蒋松春,金其辉,陈允豪,刘宏,刘亚华,B·奥克拉姆,宇野哲郎,吴旭,杨鲲泳,朱雪峰. 作为SYK激酶抑制剂的2,7-萘啶-1-酮衍生物[P]. 百慕大群岛：CN102548992A,2012-07-04.

[278]J-D·查理尔,S·杜拉特,M·欧度内尔. 用于制备用作蛋白激酶抑制剂的嘧啶衍生物的方法[P]. 美国：CN102548994A,2012-07-04.

[279]吕亦晨,N·托斯简,H·郭,W·郑. 用于测量细胞介导的免疫应答的诊断试验所用的方法和组合物[P]. 美国：CN102549425A,2012-07-04.

[280]魏开华,周晓明,付海媛,原剑,杨保安,侯利平,孙云波,黄亚娟,郑俊杰,甄蓓,张拓,王东茂. 检测多肽标志物抗原的ELISA试剂盒[P]. 北京：CN102539767A,2012-07-04.

[281]R·摩根,H·S·潘德哈. 治疗肽、多肽和核酸序列[P]. 英国：CN102549433A,2012-07-04.

[282]M.多博兹,W.朔伊尔,S.斯特罗贝尔. 非侵入性体内光学成像方法[P]. 瑞士：CN102548466A,2012-07-04.

[283]朱序金. 一种防治肿瘤的中药胶囊[P]. 山东：CN102526609A,2012-07-04.

[284]吴炳哲,金玄振. 含有顺磁性肌醇磷酸盐复合物的磁共振成像造影剂[P]. 韩国：CN102548585A,2012-07-04.

[285]毛振民,兰天,詹晓平. 1,3,4-三取代吡咯类化合物及其制备方法和应用[P]. 上海：CN102516149A,2012-06-27.

[286]张志仁,马和平,杨宝峰,初文峰,刘小燕,赵丹,王秋石. 色氨酸葡萄糖美拉德反应产物,及其制备方法和应用[P]. 黑龙江：CN102516234A,2012-06-27.

[287]翟明霞,时冉冉,高艳锋,祁元明,刘伟. PL2L60来源的CTL表位肽及其应用[P]. 河南：CN102516363A,2012-06-27.

[288]津久井利广,辻本元,岩渊成紘. 新的螨变应原[P]. 日本：CN102516383A,2012-06-27.

[289]张海涛. 胰岛素模拟肽融合蛋白和突变体及其应用[P]. 黑龙江：CN102516393A,2012-06-27.

[290]张继中. 一种准三维生物芯片的制备方法[P]. 江苏：CN102520151A,2012-06-27.

[291]施维,于洋,朱广山,李全顺,曹秉振. 一种利用流式细胞术检测细胞胞内蛋白的方法[P]. 吉林：CN102520188A,2012-06-27.

[292]陈国良,苏专专,包雪飞,杨静玉,王立辉,孙兆柱,赵嫚,吴春福. 蓓萨罗丁羟肟酸及其制备方法和用途[P]. 辽宁：CN102503857A,2012-06-20.

[293]刘扬中,闵元增. 一种抗癌药用铂类配合物及其制备方法[P]. 安徽：CN102503984A,2012-06-20.

[294]杨琨,宋朝君,金伯泉. 一种基于生精细胞特异性单克隆抗体筛选和鉴定肿瘤/睾丸抗原的方法[P]. 陕西：CN102507937A,2012-06-20.

[295]张振中,李海霞,张楠,王宁,王亚丽,贾沙沙. 用于防治肿瘤的药物组合物[P]. 河南：CN102499927A,2012-06-20.

[296]让-保罗·卡斯泰恩,米歇尔·德默勒,贝蒂·劳伦斯. 利用与血管肽-2类似物结合的抗癌剂治疗卵巢癌[P]. 加拿大：CN102510759A,2012-06-20.

[297]曹志伟,叶浩,唐凯临,李亦学. 一种基于生物过程预测药物新疗效的方法及应用[P]. 上海：CN102507883A,2012-06-20.

[298]M·加夫利特泽克,C·T·彼得拉格利亚,S·罗. 在无谷氨酰胺的细胞培养基中的蛋白质生产[P]. 瑞士：CN102498206A,2012-06-13.

[299]高艳锋,刘伟,祁元明,吕虹,吴宗胤,李璐,吴亚红. PLAC1抗肿瘤CTL表位肽及其应用[P]. 河南：CN102492023A,2012-06-13.

[300]M·L·柯丁,M·R·麦克利德斯,H·R·海曼,R·R·弗里. 作为激酶抑制剂的2-(LH-吡唑-4-基氨基)-嘧啶[P]. 美国：CN102498110A,2012-06-13.

[301]乔治·海斯,安德烈·霍尔施,迪特马尔·茨杜内克. 左心室肥大的多标记组[P]. 瑞士：CN102498403A,2012-06-13.

[302]P·德梅迪纳,M·帕亚塞,M·普瓦罗,S·西尔旺特-普瓦罗. 确定细胞致癌状态的方法、其用途及用于治疗癌症的方法[P]. 法国：CN102498404A,2012-06-13.

[303]G·K·诺尔顿,E·平尼. 用于癌症治疗的胞外基质组合物[P]. 美国：CN102497871A,2012-06-13.

[304]戴维森·达·阿捷赫,乔安妮·伊丽莎白·马丁. 用于细胞内药物递送的Fas(Apo-1,CD95)靶向平台[P]. 英国：CN102497886A,2012-06-13.

[305]乔传令,江红,崔峰. 检测库蚊乙酰胆碱酯酶G119S突变的试剂盒[P]. 北京：CN102485909A,2012-06-06.

[306]贝芝芬,张晨芳,张晨晖. 青蒿酿液及其酿制技术与其“曲”的制作方法[P]. 广东：CN102485237A,2012-06-06.

[307]J·克诺普夫,J·西拉,R·库马. 用于增加产热脂肪细胞的方法[P]. 美国：CN102482339A,2012-05-30.

[308]P·A·巴尔桑蒂,胡成,J·金,R·凯斯,R·库切杰克,X·林,潘越,K·B·菲斯特,M·森齐克,J·萨顿,万里凤. 作为蛋白激酶调节剂的吡啶和吡嗪衍生物[P]. 瑞士：CN102482218A,2012-05-30.

[309]N·J·贝内特,T·麦金纳利,S·托姆. 新颖的嘧啶衍生物和它们在治疗癌症和其它疾病中的用途[P]. 瑞典：CN102482233A,2012-05-30.

[310]蒋宇扬,张存龙,谭春燕,刘红霞,刘峰,高春梅,孙钦生. 取代的(S)-苯甲磺酰基吡咯烷-3-氨基衍生物及其制备方法与应用[P]. 广东：CN102477009A,2012-05-30.

[311]小田上刚直,小上裕二,小路弘行. α-螺旋模拟物和与其相关的方法[P]. 日本：CN102482258A,2012-05-30.

[312]Y-L·李,B·W·梅特卡尔夫,A·P·坎布斯. 作为PI3K抑制剂的嘧啶酮类[P]. 美国：CN102482278A,2012-05-30.

[313]坪池一成,水野玄,西田洋,河野繁行,丰田晃子,丹泽文惠,藤原康策. 吡咯并[2,3-D]嘧啶衍生物[P]. 日本：CN102482281A,2012-05-30.

[314]S.格拉德尔,J.鲁道夫,任力. RAF抑制剂化合物及其使用方法[P]. 美国：CN102482283A,2012-05-30.

[315]M.布罗洛,A.克劳斯,Y.埃尔阿迈德,B.菲洛克-洛米,F.哈利,K.A.卡尔森,G.马西尼亚克,B.罗南,L.希奥,B.维维特,F.维维安尼,A.齐默尔曼. 新颖的2,3-二氢-1H-咪唑并{1,2-a}嘧啶-5-酮衍生物,其制备和其药物用途[P]. 法国：CN102482285A,2012-05-30.

